customer_id,nombre,email,telefono,fecha_registro,antiguedad_dias,ciudad,tipo_cliente,canal_principal,tiene_contrato,num_envios_6m,valor_total_6m,ticket_promedio,dias_ultimo_envio,num_reclamos_6m,tasa_entrega_exitosa,nps_score,churn
CLI005398,Saúl Suárez,nidia87@example.com,+573204854351,2022-11-06,,Medellín,Natural,Web,0,6.0,83400.0,13900.0,,0.0,,6.7,0
CLI003078,Esther Alexandra Ávila Gómez,dmartinez@example.org,3037183352,11-08-2023,419.0,Cali,Empresa,API,1,16.0,785600.0,49100.0,94.0,1.0,0.9336,4.5,0
CLI006051,Yulieth Rivera Arévalo,corredorlucia@example.org,576043845554,2020-08-22,1592.0,,Empresa,App,0,,833600.0,52100.0,,1.0,0.8486,7.3,0
CLI006503,Elena Jiménez Valencia,antoniogil@example.com,(+57) 609 415 10 96,2021-07-17,,Cali,Natural,Web,0,4.0,36288000.0,10300.0,40.0,4.0,0.8884,7.7,1
CLI003602,Mauricio Alejandro Londoño,ucastro@example.net,+57 303 023 72 17,2019-05-07,2065.0,Bogotá,Natural,Punto físico,1,5.0,,14000.0,,2.0,0.8474,7.2,0
CLI009820,Viviana Forero,gomezvilma@example.org,+57 326 044 29 18,2023-06-23,557.0,Cartagena,Ecommerce,Punto físico,0,23.0,434700.0,18900.0,40.0,1.0,,7.3,0
CLI000933,Rafael Alfonso Reyes,caballerocarlos@example.net,3141539660,2020-12-24,1468.0,Medellín,Empresa,Punto físico,1,8.0,236800.0,29600.0,33.0,5.0,,7.6,1
CLI000034,Margoth Estella Serrano,duvan13@example.com,576093832387,2021-06-12,1298.0,Medellín,Natural,App,0,6.0,109200.0,18200.0,41.0,,0.7996,5.0,1
CLI000305,Yenny Beltrán Roa,dmartinez@example.net,+573072699519,2022-10-23,800.0,Cartagena,Ecommerce,,0,24.0,542400.0,22600.0,2.0,0.0,0.9722,8.9,0
CLI008928,Daniel Barreto Ibarra,lozanosebastian@example.com,018005293125,99/99/9999,1110.0,Pereira,Empresa,Punto físico,0,7.0,243600.0,34800.0,121.0,3.0,0.9909,7.9,0
